id,midi,note,onsetBeforeSec,onsetAfterSec,gainApplied,peakAfter,fullRmsAfter,attackRmsAfter,midRmsAfter
m059,59,B3,0.591859,0.004,3.0,0.08862305,0.02995531,0.02762472,0.03304924
m060,60,C4,2.935102,0.004,3.0,0.10647583,0.03647156,0.03253277,0.03847429
m061,61,Db4,5.551973,0.004,2.9885797365,0.13434381,0.03967381,0.03381122,0.04185898
m062,62,D4,8.284399,0.004,2.7079403411,0.1217284,0.04105777,0.03341455,0.04324333
m063,63,Eb4,11.003107,0.004,2.0968858889,0.11467345,0.04173888,0.03448905,0.04350557
m064,64,E4,13.696621,0.004,1.9974768037,0.10923701,0.04128778,0.03245013,0.04418876
m065,65,F4,16.509637,0.004,1.8578093981,0.09513563,0.04138671,0.03470916,0.04327292
m066,66,Gb4,19.419955,0.004,1.7518249634,0.10777829,0.04111791,0.03468275,0.04153464
m067,67,G4,22.440907,0.004,1.4760772378,0.09081335,0.04199893,0.03235348,0.041443
m068,68,Ab4,25.457279,0.004,1.7242052592,0.17458841,0.0402749,0.03366859,0.04180415
m069,69,A4,28.330023,0.004,1.1523620976,0.1166851,0.0426749,0.02947882,0.04059609
m070,70,Bb4,31.197642,0.004,1.0674140487,0.0973012,0.04134833,0.0330384,0.04359183
m071,71,B4,34.302018,0.004,1.0201878837,0.07892384,0.0413599,0.03701633,0.04198725
m072,72,C5,0.327392,0.004,0.9889825839,0.0896688,0.04169253,0.03587924,0.0417798
m073,73,Db5,3.153923,0.004,1.1513407088,0.10438944,0.04104609,0.03368664,0.04038253
m074,74,D5,5.799773,0.004,1.141344628,0.10640893,0.04135924,0.03792589,0.04701228
m075,75,Eb5,8.650998,0.004,1.1172473667,0.12151702,0.04090367,0.0397968,0.04636184
m076,76,E5,11.385215,0.004,0.8565415891,0.09593224,0.04153789,0.0428788,0.04561692
m077,77,F5,14.061066,0.004,0.7269813965,0.08142156,0.04167493,0.0381363,0.04448129
m078,78,Gb5,16.651497,0.004,0.7527018332,0.08430224,0.04192203,0.03940706,0.0460765
m079,79,G5,19.134535,0.004,1.0649551554,0.08576711,0.04085491,0.03852641,0.04278267
m080,80,Ab5,21.722154,0.004,1.139203428,0.11107651,0.04066173,0.03495466,0.04132665
m081,81,A5,24.550499,0.004,0.8199753471,0.09966924,0.04140901,0.03436481,0.04071206
m082,82,Bb5,27.407438,0.004,0.6132257106,0.07453851,0.04247839,0.03634001,0.0426494
m083,83,B5,30.36,0.004,0.7479454276,0.0864401,0.04078312,0.03607404,0.03829218
m084,84,C6,0.36229,0.004,0.6786701888,0.09371895,0.04132725,0.03813602,0.04203812
m085,85,Db6,2.888027,0.004,0.6052880279,0.0807962,0.04668884,0.04456422,0.04836202
m086,86,D6,5.592721,0.004,0.658980056,0.08796322,0.04127203,0.03768533,0.04268124
m087,87,Eb6,8.476281,0.004,0.6879690917,0.1017215,0.04103046,0.03975125,0.04061384
m088,88,E6,11.291451,0.004,0.6034793269,0.09900833,0.04469121,0.03768656,0.04527207
m089,89,F6,14.08644,0.004,0.6042347164,0.09913226,0.0591562,0.05604521,0.06315942
m090,90,Gb6,16.95644,0.004,0.7401242881,0.09402885,0.04278191,0.03524638,0.04164926
m091,91,G6,19.85263,0.004,1.1074003498,0.15947944,0.02291286,0.02482282,0.02265654
m092,92,Ab6,22.626893,0.004,0.7401242881,0.10658711,0.06233867,0.05710702,0.0619757
m093,93,A6,25.362698,0.004,0.6604528256,0.07763868,0.04161125,0.0374637,0.04348967
m094,94,Bb6,28.240544,0.004,0.8212392919,0.10726636,0.04039307,0.03574126,0.04218513
m095,95,B6,31.231927,0.004,0.608149573,0.0794336,0.04456665,0.04343158,0.04787607
m096,96,C7,0.431315,0.004,0.6,0.14139404,0.07092217,0.07160614,0.06988549
